review_id,user_id,business_id,stars,useful,funny,cool,text,date
S8jdwyhSsz30eNegDFkObA,86WYiv6T14Fbf2x0yGP8jA,B91yBSPvAz5O_t9JFafN1Q,5,0,0,0,"I absolutely love EVAN he's the best guy ever. If he wasn't the door guy I don't know what people would do with themselves!!! He is one of the most awesome
People that I Know !!! If It wasn't for Evan I probably wouldn't come to OMALLZ",2016-05-31 04:46:41
nAx6LHi2qcvh1Rg9MaqckA,s_tmMM7ZV6LyRosVL0UyhA,jxfAi7UDmtbhyPw7ZsfKVw,3,0,0,0,"The food is really good!! The service is less than average; I felt very rushed, unimportant, and cheated. Was shocked that the waitress withheld my coins when she gave me my change! Do they withhold change from all of their customers?!! Very disappointed.  Would she have done that to a well known food critic?

Will probably go back one more time eventually but will have lots of change with me to pay the EXACT amount! When it came time to give her tip, I applied the coins she withheld from me -they became part of her tip. Also, her tip dropped from my standard 25% to 15%. Flabbergasted.",2018-08-04 20:20:55
bd5QvdMJJYPWK535BMJp1w,na0A2eutW2NtTdu7xMk2uw,j8JOZvfeHEfUWq3gEz6ABQ,3,0,1,0,"Great hangout for wine, cheese, and some music outside.  Tried some of the food - bacon-wrapped dates & brussel sprouts - all unmemorable.  Also tried the sardines which smelled and tasted past their prime - sent back.",2014-11-12 15:38:32
oQ2wM3ibdAnCMBmhfwAi9A,D7weAtcvX8_I_ULfyuy83w,C1D2o1VV2TDjpkG3BsdseA,4,0,0,0,"This is my favourite place to get fish tacos! It's all I ever order, along with the occasional queso or beans which are also delicious. My friend was visiting from out of town and he ordered the beef taco and chicken fajitas and thought they were pretty average. However, he agreed that the fish tacos were amazing. Since 2 full me up and they're only like $2.60 each it's a pretty happy visit all round for me! Plus the interior and patio are awesome
(And there's Ben and Jerry's right next door for dessert)",2016-05-31 04:49:45
chtDBb_3unH0Wcs3W2Iahw,gSp5C3BfIVAHdH27rzoCDQ,RhuYqAT45uIR2NNdDsolXQ,5,1,0,1,"Some of the finest Mexican food I've had. The fried fish taco is WONDERFUL, as is all of the other food. My biggest regret is not buying their red sauce and birria to take home. 

Also-there is no air conditioning. They do have ceiling fans, but we all know those aren't necessarily helpful in the monsoon season. The food is definitely worth the trip though!",2017-07-18 18:47:24
_qA6-L34QD8ruHD7xRI0Yg,ADsAwRQC3nvNvo4Qdvu2HQ,bQKqeYwaHNal7JFAXzCMFg,5,1,0,0,"Our 1st visit here. We went through the drive thru & ordered 4 Chicago dogs. The total bill was $10.  The Chicago Dogs were great & the only place in a 28 mile radius that you can purchase one. The only 2 things missing were a poppyseed bun & celery salt. My last attempt for a Chicago dog locally was Sonic (yuck). SuperGyro uses 100% beef hot dogs, that neon green relish, sport peppers, onions, dill pickle tomatoes & onion. I'll be back for more & also to try the other menu items.",2015-06-21 04:03:17
p87acJKiGDY07_njsTefLg,qjfMBIZpQT9DDtw_BWCopQ,KhBUg5QhBYuK8RZAe5gDMQ,4,4,2,1,"I love the concept of this place. One half of it a café that serves different types of coffees and teas, and breakfast type items, and the other world where it serves bar type apps, salads, and sandwiches,  Can't forget that they also serve a wide variety of beers that they serve on tap, bottled, or in can.  

This place is pretty darn casual, and one can hang out here for hours with their friends.  Reminds me of the good ol' college days when no time could pass especially on a chill out Sunday Fun day.

Bring your four legged friend too.  They are totally welcome.",2015-02-02 20:15:22
P7okF5jBUnQ0Ng1dOShJyg,OR5Zm8Wt-nceHN1hx1qJUw,u-w0dEUZAUF3JyGS_-KiTQ,5,0,0,0,"Excellent place to get a tattoo. I have had two done at B13 and am really pleased with both. One was with a group of people and the owner was able to fit all 4 of us in with a great sketch on really short notice. If you aren't sure who to go to, I've seen especially awesome work by Amanda, though everyone is great I'm sure.",2013-03-18 23:48:26
0oN6AFhkj2IOf9gGpfZtxA,Mj8mM0pGHEsTLn5uuU9mdw,FHNIvNgh3fS7VZQq2Y3dsA,4,0,0,0,"I came here with a group of four and had a great experience. There are tons of interesting appetizers to try--we had dumplings with corn and mushrooms, wings, and some specials that are escaping me. Each of us also got an order of noodles. These are not chinatown noodle house portions, but they also aren't chinatown noodle house ingredients. Interesting, fresh, and tasty. Plus its a great deal and BYO to boot. Great addition to 10th street!",2013-08-03 13:52:55
rGI8UdsEGiGeETFiu1VK1w,WJnyWEe_YK7JO47fcovBVw,hRHhP3fhMy3LktPyQa3s_A,3,0,0,0,"Good choice in Union Station St. Louis.  I had the Ponchartrain (server said it is same as Tilapia, though that was also on the menu, so why two names for the same fish, I have no clue).  The Ponchartrain was quite good with mushrooms and a cream sauce.  We also had the shrimp cocktail and lump crab cake appetizers....both fine, but not wonderful.  Drinks and service were perfectly acceptable.  We dined outside on the patio since the weather was nice - inside looks comfy and a bit less casual.",2008-08-20 08:07:02
